# имя_файла | URL
page_001.html | https://ru.wikipedia.org/wiki/Александр_Невский
page_002.html | https://ru.wikipedia.org/wiki/Олег_Вещий
page_003.html | https://ru.wikipedia.org/wiki/Игорь_Рюрикович
page_004.html | https://ru.wikipedia.org/wiki/Княгиня_Ольга
page_005.html | https://ru.wikipedia.org/wiki/Святослав_Игоревич
page_006.html | https://ru.wikipedia.org/wiki/Владимир_Святославич
page_007.html | https://ru.wikipedia.org/wiki/Ярослав_Мудрый
page_008.html | https://ru.wikipedia.org/wiki/Владимир_Мономах
page_009.html | https://ru.wikipedia.org/wiki/Юрий_Долгорукий
page_010.html | https://ru.wikipedia.org/wiki/Андрей_Боголюбский
page_011.html | https://ru.wikipedia.org/wiki/Рюрик
page_012.html | https://ru.wikipedia.org/wiki/Дмитрий_Донской
page_013.html | https://ru.wikipedia.org/wiki/Иван_Грозный
page_014.html | https://ru.wikipedia.org/wiki/Борис_Годунов
page_015.html | https://ru.wikipedia.org/wiki/Михаил_Фёдорович
page_016.html | https://ru.wikipedia.org/wiki/Алексей_Михайлович
page_017.html | https://ru.wikipedia.org/wiki/Пётр_I
page_018.html | https://ru.wikipedia.org/wiki/Екатерина_I
page_019.html | https://ru.wikipedia.org/wiki/Анна_Иоанновна
page_020.html | https://ru.wikipedia.org/wiki/Елизавета_Петровна
page_021.html | https://ru.wikipedia.org/wiki/Екатерина_II
page_022.html | https://ru.wikipedia.org/wiki/Павел_I
page_023.html | https://ru.wikipedia.org/wiki/Александр_I
page_024.html | https://ru.wikipedia.org/wiki/Николай_I
page_025.html | https://ru.wikipedia.org/wiki/Александр_II
page_026.html | https://ru.wikipedia.org/wiki/Александр_III
page_027.html | https://ru.wikipedia.org/wiki/Николай_II
page_028.html | https://ru.wikipedia.org/wiki/Москва
page_029.html | https://ru.wikipedia.org/wiki/Санкт-Петербург
page_030.html | https://ru.wikipedia.org/wiki/Великий_Новгород
page_031.html | https://ru.wikipedia.org/wiki/Псков
page_032.html | https://ru.wikipedia.org/wiki/Смоленск
page_033.html | https://ru.wikipedia.org/wiki/Казань
page_034.html | https://ru.wikipedia.org/wiki/Нижний_Новгород
page_035.html | https://ru.wikipedia.org/wiki/Чебоксары
page_036.html | https://ru.wikipedia.org/wiki/Суздаль
page_037.html | https://ru.wikipedia.org/wiki/Ярославль
page_038.html | https://ru.wikipedia.org/wiki/Кострома
page_039.html | https://ru.wikipedia.org/wiki/Севастополь
page_040.html | https://ru.wikipedia.org/wiki/Калининград
page_041.html | https://ru.wikipedia.org/wiki/Екатеринбург
page_042.html | https://ru.wikipedia.org/wiki/Новосибирск
page_043.html | https://ru.wikipedia.org/wiki/Владивосток
page_044.html | https://ru.wikipedia.org/wiki/Сергиев_Посад
page_045.html | https://ru.wikipedia.org/wiki/Ростов_Великий
page_046.html | https://ru.wikipedia.org/wiki/Переславль-Залесский
page_047.html | https://ru.wikipedia.org/wiki/Муром
page_048.html | https://ru.wikipedia.org/wiki/Коломна
page_049.html | https://ru.wikipedia.org/wiki/Тула
page_050.html | https://ru.wikipedia.org/wiki/Рязань
page_051.html | https://ru.wikipedia.org/wiki/Воронеж
page_052.html | https://ru.wikipedia.org/wiki/Красноярск
page_053.html | https://ru.wikipedia.org/wiki/Иркутск
page_054.html | https://ru.wikipedia.org/wiki/Тобольск
page_055.html | https://ru.wikipedia.org/wiki/Архангельск
page_056.html | https://ru.wikipedia.org/wiki/Мурманск
page_057.html | https://ru.wikipedia.org/wiki/Ледовое_побоище
page_058.html | https://ru.wikipedia.org/wiki/Куликовская_битва
page_059.html | https://ru.wikipedia.org/wiki/Полтавская_битва
page_060.html | https://ru.wikipedia.org/wiki/Бородинское_сражение
page_061.html | https://ru.wikipedia.org/wiki/Отечественная_война_1812_года
page_062.html | https://ru.wikipedia.org/wiki/Крымская_война
page_063.html | https://ru.wikipedia.org/wiki/Оборона_Севастополя_(1854—1855)
page_064.html | https://ru.wikipedia.org/wiki/Русско-турецкая_война_1877—1878_годов
page_065.html | https://ru.wikipedia.org/wiki/Русско-японская_война
page_066.html | https://ru.wikipedia.org/wiki/Первая_мировая_война
page_067.html | https://ru.wikipedia.org/wiki/Брусиловский_прорыв
page_068.html | https://ru.wikipedia.org/wiki/Гражданская_война_в_России
page_069.html | https://ru.wikipedia.org/wiki/Великая_Отечественная_война
page_070.html | https://ru.wikipedia.org/wiki/Битва_за_Москву
page_071.html | https://ru.wikipedia.org/wiki/Сталинградская_битва
page_072.html | https://ru.wikipedia.org/wiki/Курская_битва
page_073.html | https://ru.wikipedia.org/wiki/Блокада_Ленинграда
page_074.html | https://ru.wikipedia.org/wiki/Битва_за_Берлин
page_075.html | https://ru.wikipedia.org/wiki/Афганская_война_(1979—1989)
page_076.html | https://ru.wikipedia.org/wiki/Чеченская_война
page_077.html | https://ru.wikipedia.org/wiki/Александр_Пушкин
page_078.html | https://ru.wikipedia.org/wiki/Михаил_Лермонтов
page_079.html | https://ru.wikipedia.org/wiki/Николай_Гоголь
page_080.html | https://ru.wikipedia.org/wiki/Фёдор_Достоевский
page_081.html | https://ru.wikipedia.org/wiki/Лев_Толстой
page_082.html | https://ru.wikipedia.org/wiki/Антон_Чехов
page_083.html | https://ru.wikipedia.org/wiki/Иван_Тургенев
page_084.html | https://ru.wikipedia.org/wiki/Михаил_Булгаков
page_085.html | https://ru.wikipedia.org/wiki/Анна_Ахматова
page_086.html | https://ru.wikipedia.org/wiki/Марина_Цветаева
page_087.html | https://ru.wikipedia.org/wiki/Сергей_Есенин
page_088.html | https://ru.wikipedia.org/wiki/Владимир_Маяковский
page_089.html | https://ru.wikipedia.org/wiki/Борис_Пастернак
page_090.html | https://ru.wikipedia.org/wiki/Иосиф_Бродский
page_091.html | https://ru.wikipedia.org/wiki/Александр_Солженицын
page_092.html | https://ru.wikipedia.org/wiki/Пётр_Чайковский
page_093.html | https://ru.wikipedia.org/wiki/Михаил_Глинка
page_094.html | https://ru.wikipedia.org/wiki/Сергей_Рахманинов
page_095.html | https://ru.wikipedia.org/wiki/Игорь_Стравинский
page_096.html | https://ru.wikipedia.org/wiki/Дмитрий_Шостакович
page_097.html | https://ru.wikipedia.org/wiki/Сергей_Прокофьев
page_098.html | https://ru.wikipedia.org/wiki/Николай_Римский-Корсаков
page_099.html | https://ru.wikipedia.org/wiki/Модест_Мусоргский
page_100.html | https://ru.wikipedia.org/wiki/Александр_Бородин
page_101.html | https://ru.wikipedia.org/wiki/Андрей_Рублёв
page_102.html | https://ru.wikipedia.org/wiki/Илья_Репин
page_103.html | https://ru.wikipedia.org/wiki/Иван_Айвазовский
page_104.html | https://ru.wikipedia.org/wiki/Виктор_Васнецов
page_105.html | https://ru.wikipedia.org/wiki/Михаил_Врубель
page_106.html | https://ru.wikipedia.org/wiki/Василий_Суриков
page_107.html | https://ru.wikipedia.org/wiki/Валентин_Серов
page_108.html | https://ru.wikipedia.org/wiki/Исаак_Левитан
page_109.html | https://ru.wikipedia.org/wiki/Кузьма_Петров-Водкин
page_110.html | https://ru.wikipedia.org/wiki/Казимир_Малевич
page_111.html | https://ru.wikipedia.org/wiki/Василий_Кандинский
page_112.html | https://ru.wikipedia.org/wiki/Марк_Шагал
page_113.html | https://ru.wikipedia.org/wiki/Московский_Кремль
page_114.html | https://ru.wikipedia.org/wiki/Эрмитаж
page_115.html | https://ru.wikipedia.org/wiki/Третьяковская_галерея
page_116.html | https://ru.wikipedia.org/wiki/Большой_театр
page_117.html | https://ru.wikipedia.org/wiki/Мариинский_театр
page_118.html | https://ru.wikipedia.org/wiki/Исаакиевский_собор
page_119.html | https://ru.wikipedia.org/wiki/Храм_Василия_Блаженного
page_120.html | https://ru.wikipedia.org/wiki/Храм_Христа_Спасителя
page_121.html | https://ru.wikipedia.org/wiki/Кижи
page_122.html | https://ru.wikipedia.org/wiki/Соловецкие_острова
page_123.html | https://ru.wikipedia.org/wiki/Валаам
page_124.html | https://ru.wikipedia.org/wiki/Троице-Сергиева_лавра
page_125.html | https://ru.wikipedia.org/wiki/Петергоф
page_126.html | https://ru.wikipedia.org/wiki/Царское_Село
page_127.html | https://ru.wikipedia.org/wiki/Нижегородский_кремль
page_128.html | https://ru.wikipedia.org/wiki/Казанский_кремль
page_129.html | https://ru.wikipedia.org/wiki/Астраханский_кремль
page_130.html | https://ru.wikipedia.org/wiki/Новодевичий_монастырь
page_131.html | https://ru.wikipedia.org/wiki/Донской_монастырь
page_132.html | https://ru.wikipedia.org/wiki/Золотые_ворота_(Владимир)
page_133.html | https://ru.wikipedia.org/wiki/Софийский_собор_(Великий_Новгород)
